round,test_acc,test_loss,train_loss,val_loss,train_acc,val_acc
0,0.818,0.8831119013786316,0.9077865306805758,0.9084863619077006,0.8147457627118644,0.815084745762712
1,0.882,0.4496055546760559,0.46773957800652294,0.473263074404427,0.8760714285714285,0.8748214285714285
2,0.897,0.36093129105567934,0.37537969286711714,0.3846482790641064,0.8927830188679244,0.8916981132075471
3,0.9064,0.3224272340774536,0.33464681080743375,0.34781090490081723,0.9022303921568627,0.8982352941176469
4,0.9117,0.29802376186847684,0.30894854816297684,0.32176076274986065,0.9096614583333333,0.9063541666666669
5,0.9181,0.28201018838882447,0.2894276162398898,0.3044920233021612,0.9146195652173913,0.9098913043478265
6,0.9213,0.26822346205711367,0.2736332030732964,0.2927860440469759,0.9199709302325584,0.9133720930232557
7,0.9246,0.25624210958480836,0.26023147878902303,0.2794903865261447,0.9239583333333334,0.9171428571428569
8,0.9285,0.24576431193351744,0.2477138292898492,0.2670953979088767,0.9269512195121952,0.9206097560975608
9,0.9311,0.23611488084197044,0.236828371040523,0.2571694688387215,0.9305937500000001,0.9225
10,0.9345,0.22701168642044067,0.2295927795919836,0.24791392118879108,0.9323214285714285,0.9243877551020407
11,0.9358,0.21877865161895751,0.220702672639773,0.24139127365890004,0.9348214285714282,0.9265476190476192
12,0.937,0.21061665630340576,0.21028844275125644,0.23056487760892724,0.9388719512195122,0.9298780487804876
13,0.9392,0.20383732879161834,0.19994575522573935,0.22554982131513368,0.942120535714286,0.9308928571428572
14,0.9399,0.19808460082411766,0.190914928895235,0.21866192994937297,0.9454749999999998,0.9329000000000001
15,0.9422,0.19178421714305877,0.18431318560751472,0.2165052106849304,0.9460060975609756,0.9326829268292683
16,0.944,0.1860934161365032,0.17705267455090176,0.20926999943415547,0.948409090909091,0.9347727272727273
17,0.9447,0.18100492507219315,0.1678926866709493,0.19687118803432516,0.9506104651162792,0.9377906976744187
18,0.9467,0.1765715358018875,0.16340417541801291,0.18502269612367647,0.951941489361702,0.9406382978723403
19,0.9463,0.17280122755765914,0.15761145657404915,0.177830718541193,0.9536337209302325,0.9444186046511629
20,0.9477,0.1681414952993393,0.1574393505928191,0.18516873923485924,0.9535227272727275,0.9431818181818179
21,0.9494,0.1637798434495926,0.15051229751110076,0.1801528195582331,0.9554999999999996,0.9442999999999999
22,0.9507,0.16059818053245545,0.1445474006134001,0.17464000766356055,0.9565056818181816,0.9451136363636365
