0,1,2,3,4
Round,train_losses,train_accs,val_Losses,val_accs
0,-1,-1,-1,-1
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
6,-1,-1,-1,-1
7,-1,-1,-1,-1
8,-1,-1,-1,-1
9,-1,-1,-1,-1
10,-1,-1,-1,-1
11,-1,-1,-1,-1
12,-1,-1,-1,-1
13,-1,-1,-1,-1
14,-1,-1,-1,-1
15,-1,-1,-1,-1
16,-1,-1,-1,-1
17,-1,-1,-1,-1
18,-1,-1,-1,-1
19,-1,-1,-1,-1
20,-1,-1,-1,-1
21,-1,-1,-1,-1
22,-1,-1,-1,-1
23,-1,-1,-1,-1
24,-1,-1,-1,-1
25,-1,-1,-1,-1
26,-1,-1,-1,-1
27,-1,-1,-1,-1
28,-1,-1,-1,-1
29,-1,-1,-1,-1
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,-1,-1
33,-1,-1,-1,-1
34,-1,-1,-1,-1
35,-1,-1,-1,-1
36,-1,-1,-1,-1
37,-1,-1,-1,-1
38,-1,-1,-1,-1
39,-1,-1,-1,-1
40,-1,-1,-1,-1
41,-1,-1,-1,-1
42,-1,-1,-1,-1
43,-1,-1,-1,-1
44,-1,-1,-1,-1
45,-1,-1,-1,-1
46,-1,-1,-1,-1
47,-1,-1,-1,-1
48,-1,-1,-1,-1
49,-1,-1,-1,-1
50,-1,-1,-1,-1
51,-1,-1,-1,-1
52,-1,-1,-1,-1
53,-1,-1,-1,-1
54,-1,-1,-1,-1
55,-1,-1,-1,-1
56,-1,-1,-1,-1
57,-1,-1,-1,-1
58,-1,-1,-1,-1
59,-1,-1,-1,-1
60,-1,-1,-1,-1
61,-1,-1,-1,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
64,-1,-1,-1,-1
65,-1,-1,-1,-1
66,-1,-1,-1,-1
67,-1,-1,-1,-1
68,-1,-1,-1,-1
69,-1,-1,-1,-1
70,-1,-1,-1,-1
71,-1,-1,-1,-1
72,-1,-1,-1,-1
73,-1,-1,-1,-1
74,-1,-1,-1,-1
75,-1,-1,-1,-1
76,-1,-1,-1,-1
77,-1,-1,-1,-1
78,-1,-1,-1,-1
79,-1,-1,-1,-1
80,-1,-1,-1,-1
81,-1,-1,-1,-1
82,-1,-1,-1,-1
83,-1,-1,-1,-1
84,-1,-1,-1,-1
85,-1,-1,-1,-1
86,-1,-1,-1,-1
87,-1,-1,-1,-1
88,-1,-1,-1,-1
89,-1,-1,-1,-1
90,-1,-1,-1,-1
91,-1,-1,-1,-1
92,-1,-1,-1,-1
93,-1,-1,-1,-1
94,-1,-1,-1,-1
95,-1,-1,-1,-1
96,-1,-1,-1,-1
97,-1,-1,-1,-1
98,-1,-1,-1,-1
99,-1,-1,-1,-1
100,-1,-1,-1,-1
101,-1,-1,-1,-1
102,-1,-1,-1,-1
103,-1,-1,-1,-1
104,-1,-1,-1,-1
105,-1,-1,-1,-1
106,-1,-1,-1,-1
107,-1,-1,-1,-1
108,-1,-1,-1,-1
109,-1,-1,-1,-1
110,-1,-1,-1,-1
111,-1,-1,-1,-1
112,-1,-1,-1,-1
113,-1,-1,-1,-1
114,-1,-1,-1,-1
115,-1,-1,-1,-1
116,-1,-1,-1,-1
117,-1,-1,-1,-1
118,-1,-1,-1,-1
119,-1,-1,-1,-1
120,-1,-1,-1,-1
121,-1,-1,-1,-1
122,-1,-1,-1,-1
123,-1,-1,-1,-1
124,-1,-1,-1,-1
125,-1,-1,-1,-1
126,-1,-1,-1,-1
127,-1,-1,-1,-1
128,-1,-1,-1,-1
129,-1,-1,-1,-1
130,-1,-1,-1,-1
131,-1,-1,-1,-1
132,-1,-1,-1,-1
133,-1,-1,-1,-1
134,-1,-1,-1,-1
135,-1,-1,-1,-1
136,-1,-1,-1,-1
137,-1,-1,-1,-1
138,-1,-1,-1,-1
139,-1,-1,-1,-1
140,-1,-1,-1,-1
141,-1,-1,-1,-1
142,-1,-1,-1,-1
143,-1,-1,-1,-1
144,-1,-1,-1,-1
145,-1,-1,-1,-1
146,-1,-1,-1,-1
147,-1,-1,-1,-1
148,-1,-1,-1,-1
149,-1,-1,-1,-1
150,-1,-1,-1,-1
151,-1,-1,-1,-1
152,-1,-1,-1,-1
153,-1,-1,-1,-1
154,-1,-1,-1,-1
155,-1,-1,-1,-1
156,-1,-1,-1,-1
157,-1,-1,-1,-1
158,-1,-1,-1,-1
159,-1,-1,-1,-1
160,-1,-1,-1,-1
161,-1,-1,-1,-1
162,-1,-1,-1,-1
163,-1,-1,-1,-1
164,-1,-1,-1,-1
165,-1,-1,-1,-1
166,-1,-1,-1,-1
167,-1,-1,-1,-1
168,-1,-1,-1,-1
169,-1,-1,-1,-1
170,-1,-1,-1,-1
171,-1,-1,-1,-1
172,-1,-1,-1,-1
173,-1,-1,-1,-1
174,-1,-1,-1,-1
175,-1,-1,-1,-1
176,-1,-1,-1,-1
177,-1,-1,-1,-1
178,-1,-1,-1,-1
179,-1,-1,-1,-1
180,4.733724449702672,0.034285714434725896,4.605770761316473,0.045454545793208206
181,4.210599027361188,0.0828571429848671,4.142636082389138,0.11363636499101465
182,4.2088189206804545,0.05142857172659465,4.145384723489935,0.06818181852048094
183,4.017731236049107,0.10000000042574746,3.974299344149503,0.11363636499101465
184,4.071755843843732,0.07142857172659466,4.026447556235573,0.07954545454545454
185,3.915949649810791,0.09428571458373751,3.889543056488037,0.10227272761139003
186,3.972875826699393,0.07428571441343852,3.952551148154519,0.10227272795005278
187,3.859072528566633,0.10285714328289032,3.842893947254528,0.11363636431368915
